lowercase,forms
'double,'double
entendre',entendre'
'effing,'effing
jewels',jewels'
'concession,'Concession
what',what'
aesthetic',aesthetic'
'passed,'passed
'athleisure,'athleisure
origins',origins'
'social,'social
media',media'
'creepy,'creepy
crawly',crawly'
'sober,'sober 'Sober
wants',wants'
'hooking,'hooking
'buggered,'buggered
'dem,'dem
ears'd,ears'd
yes'd',yes'd'
'pon,'Pon 'pon
todays',todays'
'cease,'cease
'gentleman's,'gentleman's
'peter,'Peter
frills',frills'
d'enfer,d'Enfer
'gate,'Gate
'knife,'knife
fights',fights'
'pulled,'pulled
change',change'
floaties',floaties'
form',form'
'journey's,'journey's
meeting',meeting'
'classical,'classical
romantic',romantic'
bounds',bounds'
'vile,'vile 'Vile
debauchery',debauchery'
'pillow,'pillow 'Pillow
'poster,'Poster 'poster
'parading,'parading
fight',fight'
support',support'
'dominant,'dominant
'fit,'fit
glove',glove'
nerds',nerds'
l',l' L'
'suppose,'Suppose 'suppose
canasta',canasta'
deceit',deceit'
'cinnamon,'cinnamon
departed',departed'
'hugger,'hugger
nominated',nominated'
'going's,'going's
'newborn,'newborn
smell',smell'
cheek',cheek'
project',project'
'more's,'more's
'do-over,'do-over
worker',worker'
'world's,'World's 'world's
'upper,'upper
class',class'
'unnecessarily,'unnecessarily
'snapping,'snapping
fingers',fingers'
spoon'd,spoon'd
exsanguination',exsanguination'
friendly',friendly'
'faffed,'faffed
doesn't',doesn't'
'concupiscent,'concupiscent
canapé's,canapé's
'diy,'DIY
waxing',waxing'
'mending,'mending
bridges',bridges'
'blending,'blending
'nooks,'nooks
crannies',crannies'
's'why,'S'why
'eyes,'eyes 'Eyes
stomachs',stomachs'
'sore,'sore
'driving,'driving
plagues',plagues'
displeasure',displeasure'
'dishonourably,'dishonourably
discharged',discharged'
offensive',offensive'
'bums,'bums
brushing',brushing'
'offensively,'offensively
'crotch,'crotch
sweat',sweat'
'soccer,'Soccer
mum',mum'
'waxing,'waxing
mishap',mishap'
blessed',blessed'
'gavotte,'Gavotte
'developing,'developing
tumour',tumour'
'breaking,'breaking
a'course,a'course
'hate,'hate 'Hate
'pleasant,'pleasant
sound',sound'
'eight-pack,'Eight-Pack
whats',whats'
'archibald,'Archibald
goin'a,goin'a
'post-coital,'post-coital
glow',glow'
'tough,'tough
'wind,'Wind
valleys',valleys'
hostage',hostage'
'source,'source
codes',codes'
rather'n,rather'n
'mega,'mega
mansion',mansion'
'ay,'Ay
bath',bath'
breakfast',breakfast'
'ground,'Ground 'ground
kindness',kindness'
l'arrivée,L'arrivée L'Arrivée
work—it's,work—it's
jest',jest'
what's-his-name,what's-his-name
'know,'know 'Know
expect',expect'
existed—that's,existed—that's
'tracks,'Tracks
'oh-h,'Oh-h
groups're,groups're
children's’,children's’
satanists',satanists'
present',present'
'alpha,'Alpha
'ship,'ship
guidance',guidance'
'away,'away 'Away
fairies',fairies'
id',ID'
'andsome,'andsome
'ometown,'ometown
'summon,'summon
apples',apples'
'hopping,'Hopping
aisle',aisle'
'non-flattering,'non-flattering
cruel',cruel'
presence',presence'
'sept,'Sept
'sword,'sword
improvement',improvement'
'massive,'massive
disappointment',disappointment'
tired',tired'
'everybody's,'everybody's
chase',chase'
'simplest,'Simplest
ever',ever'
'whoever's,'whoever's
'tree,'Tree
'possible,'possible 'Possible
'positive,'positive
forward-thinking',forward-thinking'
'heads,'heads
activities',activities'
bells',bells'
'do's,'do's
don'ts',don'ts'
celestial',celestial'
'deadly,'Deadly
'absentees,'absentees
addition',addition'
cause',cause'
shinier',shinier'
'principality,'Principality
feelin'i,feelin'I
instincts',instincts'
quicker'n,quicker'n
enter'n,enter'n
take'm,take'm
faster'n,faster'n
tryin'to,tryin'to
wisp'd,wisp'd
does't,does't
'twink,'twink
freak',freak'
that'sssss,that'sssss
elssssse'ssss,elssssse'ssss
ssssomeone'sss,ssssomeone'sss
didn'tdid’n,didn'tdid’n
spontaneous—he'd,spontaneous—he'd
'fthe,'fthe
'quisition,'quisition
cert'ly,cert'ly
'ceptional,'Ceptional
n'infernal,n'infernal
heav'nly,heav'nly
duzz'nt,duzz'nt
sh',sh'
'inf'nite,'Inf'nite
theme'f,theme'f
'permit,'Permit
worse'n,worse'n
it—fuck—you're,it—fuck—you're
beginn',beginn'
'-did,'-did
'yet,'Yet 'yet
blue',blue'
'nine,'Nine 'nine
wasn'it,wasn'it
anextraordin'ry,anextraordin'ry
isn'it,isn'it
we',we'
i'msorry,I'msorry
'leisure,'leisure
imagined',imagined'
oldest—only—friend's,oldest—only—friend's
'-oh,'-Oh
'w-well,'W-well
um-',um-'
'lots,'Lots
'hair,'hair
of-'',of-''
bookshop-'',bookshop-''
and-'',and-''
to-to-'',to-to-''
that-'',that-''
moms',moms'
let'z,let'z
y'u,y'u
kittens',KITTENS' kittens'
'charitable,'charitable
names',names'
kitty',kitty'
deaths',deaths'
just-',just-'
properly',properly'
'promise,'Promise
'g'morning,'G'morning
shhhh'd,shhhh'd
preistess',preistess'
'eard,'eard
captain'd,captain'd
angel-ey',angel-ey'
'adataneses’,'Adataneses’
pedestrians',pedestrians'
'sssssup,'Sssssup
'sssup,'Sssup
'stinky,'stinky
'quickly,'Quickly
we-are-such-idiots-why-didn't-we'do-this-sooner-capital-t,we-are-such-idiots-why-didn't-we'do-this-sooner-capital-T
dare',dare'
'greetings,'greetings 'Greetings
'jack,'Jack
'nate,'Nate
'named,'Named
jussss',jussss'
h'rse,h'rse
has't,has't
what-the-hell-o'clock,what-the-hell-o'clock
existence',existence'
m'on,M'on
coffee',coffee'
loo',loo'
'nasty,'Nasty
s'proper,s'proper
if'ya,if'ya
uncaring—it's,uncaring—it's
'hmm'ing,'hmm'ing
tryin'ta,tryin'ta
tohav',tohav'
pets',pets'
'lobster,'lobster
tail',tail'
'totally,'totally
babes',babes'
'futile,'futile
attempt',attempt'
quirks',quirks'
'merry,'Merry
truth',truth'
'hump,'hump
leg',leg'
nákúset's,Nákúset's
'gives,'Gives
'necessary,'necessary
'healthy,'healthy
startsyou're,startsYou're
better'cause,better'Cause
get'cause,get'Cause
runwe're,runWe're
reali'm,realI'm
what'shisface,what'shisface
she'bang,she'bang
o'lanterns,o'lanterns O'Lanterns
ruff',ruff'
afraid'',afraid''
helped'',helped''
while'',while''
worked'',worked''
now'',now'' NOW''
play'',play''
week'',week''
fun'',fun''
on'',on''
guess'',guess''
love'',love''
area'',area''
angel'',angel'' ANGEL''
dearest'',dearest''
visit'',visit''
you'',you''
up'',up''
doctor'',doctor''
stars'',stars''
pregnant'',pregnant''
know'',know''
work'',work''
here'',here''
tango',tango'
that'',that'' THAT''
again'',again''
days'',days''
rest'',rest''
them'',them''
can't'',can't''
in'',in''
world'',world''
anything'',anything''
time'',time''
hope'',hope''
possible'',possible''
'incoming,'incoming
way'',way''
accident'',accident''
demons'',demons''
harmless'',harmless''
stupid'',stupid''
out'',out''
full'',full''
forever'',forever''
happens'',happens''
shit'',shit''
us'',us''
like'',like''
books'',books''
sometimes'',sometimes''
functioning'',functioning''
brother'',brother''
there'',there''
enter'',enter''
cause'',cause''
enough'',enough''
shortly'',shortly''
horrible'',horrible''
choice'',choice''
around'',around''
two'',two''
dinner'',dinner''
go'',go''
something'',something''
order'',order''
hot'',hot''
sinful'',sinful''
coarse'',coarse''
will'',will''
circumstances'',circumstances''
found'',found''
however'',however''
assistance'',assistance''
quick'',quick''
important'',important''
can'',can''
then'',then''
end'',end''
soul'',soul''
crimes'',crimes''
alone'',alone''
baby'',baby''
gone'',gone''
no'',no''
faster'',faster''
side''i,side''I
all'',all''
family'',family''
notice'',notice''
wanted'',wanted''
ago'',ago''
fizzy'',fizzy''
coming'',coming''
him'',him''
cottage'',cottage''
course'',course''
upsetting'',upsetting''
right'',right''
her'',her''
try'',try''
help'',help''
daddy'',daddy''
upstairs'',upstairs''
mama'',mama''
words'',words''
met'',met''
still'',still''
door'',door''
open'',open''
red'',red''
hair'',hair''
father'',father''
safe'',safe''
think'',think''
away'',away''
five'',five''
grateful'',grateful''
going'',going''
cell'',cell''
slip'',slip''
much'',much''
too'',too''
close'',close''
bitch'',BITCH'' bitch''
sorry'',sorry''
girl'',girl''
child'',child''
leave'',leave''
be'',be''
greatly'',greatly''
relax'',relax''
gotten'',gotten''
someone'',someone''
planned'',planned''
twin'',twin''
disgusting'',disgusting''
energy'',energy''
comfortable'',comfortable''
little'',little''
care'',care''
mind'',mind''
change'',change''
skin'',skin''
moment'',moment''
state'',state''
yourself'',yourself''
look'',look''
beautiful'',beautiful''
ok'',OK''
one'',one''
information'',information''
mistake'',mistake''
long'',long''
talk'',talk''
past'',past''
over'',over''
life'',life''
better'',better''
successor'',successor''
later'',later''
more'',more''
years'',years'' YEARS''
flame'',flame''
'gnomeo,'Gnomeo
d'avola,d'Avola
don't---the,don't---the
wouldn't--she,wouldn't--she
him---i'd,him---I'd
anyway---'zira,anyway---'Zira
'confirmed,'confirmed
couldn't-i,couldn't-I
trousers',trousers'
invention',invention'
loving',loving'
late',late'
t'worry,t'worry
'dress,'dress
code',code'
unavailable',unavailable'
'guest,'guest 'Guest
roles',roles'
emergency',emergency'
'unlived,'unlived
kill',kill'
stewardesses',stewardesses'
ducks',ducks'
hair'n,hair'n
bad'n,bad'n
t'think,t'think
me'n,me'n
comrades',comrades'
n'rmal,N'rmal
'bottomless,'bottomless
off—it's,off—it's
'typical,'typical
purebred',purebred'
lasts',lasts'
relief',relief'
terror',terror'
'diplomatic,'diplomatic
'felt,'felt
shelves',shelves'
'cancelling,'cancelling
he-didn't-know-how-long,he-didn't-know-how-long
'settling,'settling
florist',florist'
'trash,'trash
novel',novel'
'brand,'brand
lately',lately'
moron',moron'
dears',dears'
'batten,'batten
hatches',hatches'
blah',blah'
overreaction',overreaction'
they'dbeen,they'dbeen
proprietress',proprietress'
easy',easy'
'detached,'detached
professional',professional'
coo'd,coo'd
w',w'
ta',ta'
'ray,'ray
sunshine',sunshine'
'foretold,'Foretold
'ain’t’,'Ain’t’
snickers—it's,snickers—it's
i-i'm,i-i'm
cheeks',cheeks'
im',im'
'types,'types
'snone,'sNone
don''t,don''t
can't—angel—i,can't—angel—I
y'a,y'a
'move,'Move 'MOVE
pace',pace'
'protect,'Protect 'protect
'elaborate,'elaborate
scheme',scheme'
'secret,'secret 'Secret
weapons',weapons'
'deleted,'deleted
scenes',scenes'
alien',alien'
'grk,'Grk
'notorious,'notorious
trapper',trapper'
'sacred,'sacred
prostitute',prostitute'
spheres',spheres'
harmony',harmony'
wont'cha,wont'cha
'stringing,'stringing
ta-',ta-'
hard',hard'
'caught,'caught
'falling,'Falling 'falling
'a-are,'A-Are
'club,'club
system'',system''
'bush's,'Bush's
smartphone—he's,smartphone—he's
'raw,'Raw 'raw
'spreading,'Spreading 'spreading
ideas',ideas'
iniquity',iniquity'
don't—i'm,don't—I'm
o'deorain’s,O'Deorain’s
yasalā'ī,yasalā'ī
mission',mission'
shouldn't',shouldn't'
'sad,'sad
five'd,five'd
leaves',leaves'
roots',roots'
'fraternizing'-'too,'Fraternizing'-'Too
selection',selection'
'hit,'hit 'Hit
moving',moving'
'tactical,'Tactical
retreat',retreat'
'faith,'faith 'Faith
mountains',mountains'
'royally,'royally
cook',cook'
th'army,th'army
scene',scene'
'guessing,'guessing
game',game'
chapter',chapter'
s'those,S'those
s'who,S'who
o-',o-'
'happen,'happen
upon',upon'
'set,'Set 'set
there-',there-'
'destroy,'Destroy 'destroy
numbered',numbered'
watchers',watchers'
survive',survive'
chill'n,chill'n
eat'n,eat'n
'bind,'bind
generations',generations'
difficult',difficult'
is'n'it,is'n'it
right'ere,right'ere
'staring,'staring
'hunch,'Hunch
n'thing,N'thing
midnigh',midnigh'
these',these'
fish'n,fish'n
well—he'd,well—he'd
s'rry,S'rry
'barreling,'barreling
d'aubigny,d'Aubigny
'rogue,'rogue
queers',queers'
'plugged,'plugged
let's-avert-armageddon-together,let's-avert-Armageddon-together
'unable,'Unable
bananas',bananas'
l'étoile,l'Étoile
cor',cor'
par',par'
the',the'
'connect,'Connect
'tasted,'tasted
sure—he'd,sure—he'd
transport',transport'
close',close'
a'yahos,a'yahos
'mm,'mm 'Mm
hmm',hmm'
elks',elks'
'beelzebub,'Beelzebub 'BEELZEBUB
b'nai,b'nai B'nai
engineers',engineers'
vi'lation,vi'lation
clock',clock'
'gonna,'Gonna
m'parents,m'parents
m'powers,m'powers
'gedd,'gedd
y'sh'p,y'sh'p
competent',competent'
you''re,you''re
didn't--i,didn't--I
someone',SOMEONE' someone'
risk-my-life-and-everyone's-life-who-is-unlucky-enough-to-be-in-my-proximity,risk-my-life-and-everyone's-life-who-is-unlucky-enough-to-be-in-my-proximity
isssn',isssn'
shouldn',shouldn'
abou'the,abou'the
world'sss,world'sss
mattress',mattress'
known',known'
'predatory,'Predatory
ah',ah'
'zssiraphale,'Zssiraphale
'detective,'Detective
r'you,R'you
i'mm,I'mm
other'd,other'd
angel'd,angel'd
'ought,'Ought 'ought
fire'd,fire'd
all''s,all''s
weight'd,weight'd
battle',battle'
oxygen'd,oxygen'd
boots',boots'
demon'd,demon'd
accepted',accepted'
'sonly,'sonly 'Sonly
'talks,'Talks
'snice,'snice 'Snice
'jumping,'jumping
cross',cross'
types',types'
'ace,'Ace 'ace
'chill,'chill
person',person'
cupid's-bow,cupid's-bow
that's--never,that's--Never
'vashta,'Vashta
paradox',paradox'
'habee's,'habee's
c'm,C'm
'supernatural,'supernatural
paying',paying'
'introduce,'introduce 'Introduce
'event,'event
'born,'born 'Born
matrimony',matrimony'
'them,'them 'Them
m'here,M'here
'tits,'tits
proms',proms'
hells',hells'
aura',aura'
yet-',yet-'
'sush,'Sush
'wish,'Wish
'whoever,'Whoever
'nevermind,'Nevermind 'nevermind
'slowly,'Slowly
'europe,'Europe
'rome,'Rome
'romantic,'Romantic 'romantic
'apology,'Apology
'mhm,'Mhm
'name's,'Name's
uterus',uterus'
our-''it,our-''It
'careful,'Careful 'careful
'turned,'Turned 'turned
'rubbish,'Rubbish
'aramaic,'Aramaic
'newt,'Newt
'seriously,'Seriously 'seriously 'SERIOUSLY
'what'd,'What'd
'goodnight,'Goodnight
'countless,'Countless
'trust,'Trust
'worried,'Worried 'worried
'long,'Long 'long
'kitchen,'Kitchen
'remind,'Remind
'watched,'Watched
'woke,'Woke 'woke
'passes,'Passes
'walk,'Walk 'walk
'catalyst,'Catalyst
'sweetheart,'Sweetheart
'warlock,'Warlock
'darling,'Darling 'darling
'taxi's,'Taxi's
'bentley's,'Bentley's
'taxi,'Taxi
'sky,'Sky
'agnieska,'Agnieska
'reservation,'Reservation
'vast,'Vast
'whilst,'Whilst
pricks',pricks'
'longer,'Longer
'definite,'Definite
'unlucky,'Unlucky
'together,'Together
'riddles,'Riddles
'despite,'Despite
'power,'Power 'power
'bottle,'Bottle
'prophecies,'Prophecies
'english,'English
'assurances,'Assurances
'stand,'Stand
'kneel,'Kneel
'attempting,'Attempting
'injured,'Injured
'healed,'Healed
'calm,'Calm 'calm
'merely,'Merely 'merely
'dare,'Dare 'dare
'lucifer's,'Lucifer's
'returned,'Returned
'forcing,'Forcing
'easily,'Easily
'turns,'Turns
'raphael's,'Raphael's
'dresser,'Dresser
'tender,'Tender
'sadly,'Sadly
'different,'Different 'different
'also,'Also
'american,'American
'sending,'Sending
'coincidence,'Coincidence
'richard,'Richard
'hide,'Hide
'pack,'Pack
'plus,'Plus 'plus
'wherever,'Wherever 'wherever
'quicker,'Quicker
'hearing,'Hearing 'hearing
'honest,'Honest
'acknowledged,'Acknowledged
'technically,'Technically
'needs,'Needs 'needs
'time's,'Time's
'windsor,'Windsor
'breathe,'Breathe
burns',burns'
'patches,'Patches
'feels,'Feels 'feels
'struggling,'Struggling
'dagon,'Dagon
'hardly,'Hardly 'hardly
'fast,'Fast
'near,'Near
'found,'Found
'terrified,'Terrified
'believe,'Believe 'believe
'confused,'Confused
'sepsis,'Sepsis
'strength,'Strength
'catholics,'Catholics
'jerusalem,'Jerusalem
'slinking,'Slinking
'both,'Both
'takes,'Takes
'thievery,'Thievery
'behave,'Behave
'arrange,'Arrange
'g'night,'G'night
'priests,'Priests
'sooner,'Sooner
'righto,'Righto
'pointless,'Pointless
'ladies,'Ladies
'given,'Given 'given
'something's,'Something's
'questions,'Questions
'struck,'Struck
'stories,'Stories
'fix,'Fix
'enlighten,'Enlighten
'bollocks,'Bollocks
'bet,'Bet
'thousands,'Thousands
'apologies,'Apologies
'regardless,'Regardless
'circumstance,'Circumstance
'skipping,'Skipping
'him,'Him
'hush,'Hush 'hush
'tired,'Tired 'tired
'around,'Around 'around
'hour,'Hour
'soppy,'Soppy
'twenty-four,'Twenty-four
'note,'Note
'deary,'Deary
'sharing,'Sharing
'monopolise,'Monopolise
'performing,'Performing 'performing
'ours,'Ours
'obviously,'Obviously 'obviously
'beelezebub,'Beelezebub
'finish,'Finish
'stick,'Stick
'chance,'Chance
'praise,'Praise
'relax,'Relax 'relax
'analysis,'Analysis
'courage,'Courage
'mercy,'Mercy
'harming,'Harming
'worrying,'Worrying
'evidence,'Evidence
'either,'Either 'either
'already,'Already
'depends,'Depends
'reckon,'Reckon
'raised,'Raised
'strategy,'Strategy
'gabriel's,'Gabriel's
'shake,'Shake
'except,'Except 'except
'used,'Used 'used
'fifty,'Fifty 'fifty
'answer,'Answer
'kenya,'Kenya
'nazareth,'Nazareth
'transport,'Transport
'kid,'Kid
'brought,'Brought 'brought
'indulge,'Indulge
'wipe,'Wipe
'desert,'Desert
'proving,'Proving
'uses,'Uses
'thaddeus,'Thaddeus
'easier,'Easier
'wonder,'Wonder 'wonder
tha'sss,tha'sss
thass',thass'
fuck'sss,fuck'sss
to—there's,to—there's
sss'just,sss'just
issa—it's,issa—it's
jusss',jusss'
know—i'm,know—i'm know—I'm
saying—i'm,saying—i'm
sudden—there's,sudden—there's
out—i'm,out—i'm
that—that's—i,that—that's—i
like—it's,like—it's
̸̻͚̅d̴̳͒̾̕o̵̠̪̿̅̈́n̸̨̜̒͑͜͝'̷̘̗̫͋͗͗ẗ̶̼̳́,̸̻͚̅d̴̳͒̾̕o̵̠̪̿̅̈́n̸̨̜̒͑͜͝'̷̘̗̫͋͗͗ẗ̶̼̳́
t'same,T'same
̶̛̜͎͈̥̥͔̠͊͛͐̊̽̇͒̍̓͗͒̂̀̀͗͘̚̕̕͝į̸̞̖̝͚͓̫̗͍̠̻͂̈́̈́̄͗͗͐̈́̆͐̃̍͊̆̌͘̕̚̚͘͘͝͝ͅ'̸̛͎̦̞͓͉͚̐͂̄̅̑̎͋̈̆̊̑͋̔̑v̴̨̧͙̼̮̖̫͙̞͖̮̥͙̭̰̹̓͂̿̃̏̏̒͌̋̋̔̆̓̅͛́ͅȩ̷̭̙̖̟͓̜̟̩̘̇̇̊́̈́̽̒̑̌͂͆͘͘͝ͅͅͅ,̶̛̜͎͈̥̥͔̠͊͛͐̊̽̇͒̍̓͗͒̂̀̀͗͘̚̕̕͝Į̸̞̖̝͚͓̫̗͍̠̻͂̈́̈́̄͗͗͐̈́̆͐̃̍͊̆̌͘̕̚̚͘͘͝͝ͅ'̸̛͎̦̞͓͉͚̐͂̄̅̑̎͋̈̆̊̑͋̔̑v̴̨̧͙̼̮̖̫͙̞͖̮̥͙̭̰̹̓͂̿̃̏̏̒͌̋̋̔̆̓̅͛́ͅȩ̷̭̙̖̟͓̜̟̩̘̇̇̊́̈́̽̒̑̌͂͆͘͘͝ͅͅͅ
̸͔͎̀h̵̞͓̊͠͝e̸͓̖̊'̵̙̩̮̑͋͛ḑ̴̠͓̋̓,̸͔͎̀h̵̞͓̊͠͝e̸͓̖̊'̵̙̩̮̑͋͛ḑ̴̠͓̋̓
̸͇̎c̶̭̊a̸͈̕n̴̬͠'̶̯̉t̴̞̑,̸͇̎c̶̭̊a̸͈̕n̴̬͠'̶̯̉t̴̞̑
m'always,M'always
tell'em,tell'em
keep'em,keep'em
̴t̷h̸a̴t̵'̷s̶,̴T̷h̸a̴t̵'̷s̶
̸d̵o̷n̵'̸t̶,̸d̵o̷n̵'̸t̶
̴i̸t̸'̸s̸,̴I̸t̸'̸s̸
it's-it's,it's-it's
should',should'
d'abano’s,d'Abano’s
'saint,'Saint
a—i'm,a—I'm
severely—you'd,severely—you'd
second—they're,second—they're
i'm—you,I'm—you
i'm—can,I'm—can
idea—that's—oh,idea—that's—oh
is—you're,is—you're
food'n'drink,food'n'drink
l'amphithéâtre,l'amphithéâtre
'confess,'confess
'mmmh,'mmmh
mmmmmh',mmmmmh'
l'université,l'université
'mmmh's’,'mmmh's’
cover-your-child's-eyes-and-look-the-other-way-as-well,cover-your-child's-eyes-and-look-the-other-way-as-well
'pushing,'pushing
expected',expected'
'surprising,'Surprising
surprising',surprising'
hallucinating',hallucinating'
annoyed',annoyed'
'instead,'instead
attitude',attitude'
isn't',isn't'
dumb',dumb'
'royal,'Royal
'lucinda,'Lucinda
'abaddon,'Abaddon
'dunno,'Dunno
'literally,'literally
'you⸺,'You⸺
'but⸺,'But⸺
wings⸺',wings⸺'
'tricks,'tricks
'i⸺,'I⸺
'yes⸺,'Yes⸺
know⸺',know⸺'
brother',brother'
'admiring,'admiring
furious',furious'
heroic',heroic'
'father,'Father
certainly',certainly'
all⸺',all⸺'
sh⸺',sh⸺'
apologizing',apologizing'
really⸺',really⸺'
'anything's,'Anything's
humor⸺',humor⸺'
'bury,'bury
smuggle',smuggle'
ᴅᴇᴠɪʟ's,ᴅᴇᴠɪʟ's
accept⸺',accept⸺'
either',either'
whisky',whisky'
pride',pride'
wasn't⸺,wasn't⸺
trade',trade'
'define,'Define 'define
it⸺',it⸺'
got',got'
'reuniting,'Reuniting
'fascinating,'Fascinating 'fascinating
could⸺',could⸺'
cell',cell'
and⸺',and⸺'
sight',sight'
'clever,'Clever 'clever
'england,'England
elsewhere',elsewhere'
some',some'
wish',wish'
need',need'
'luci,'Luci
absurd',absurd'
hide',hide'
aware',aware'
'impressive,'Impressive
that⸺',that⸺'
'clear,'Clear
'legitimate,'Legitimate
'y'know,'Y'know
'd'you,'D'you 'd'you
almost',almost'
hi⸺',hi⸺'
'sence,'sence
relax',relax'
tempting⸺',tempting⸺'
'lapd,'LAPD
uh⸺',uh⸺'
fraud',fraud'
'searching,'Searching
impersonating',impersonating'
unsure',unsure'
'goes,'Goes 'goes
sometimes',sometimes'
'write,'write 'Write
'worth,'Worth
disappeared',disappeared'
speak',speak'
lying',lying'
'dan,'Dan
's'never,'S'never
'idea's,'idea's
family⸺',family⸺'
experiments',experiments'
fancy',fancy'
quite',quite'
apologise',apologise'
tell',tell'
'nonono,'Nonono
⸺',⸺'
listening',listening'
far',far'
'artful,'artful
'reviving,'reviving
house',house'
actually',actually'
'interesting,'interesting 'Interesting
interrupt',interrupt'
of⸺',of⸺'
stupid⸺',stupid⸺'
'sssure,'Sssure
don't⸺',don't⸺'
always',always'
asking',asking'
empty',empty'
'alternatively,'Alternatively
horny',horny'
for⸺',for⸺'
preposterous',preposterous'
broken',broken'
'years,'Years
'why'd,'Why'd
uh-',uh-'
well-',well-'
'where're,'Where're
'anthony's,'Anthony's
or-',or-'
'chloe,'Chloe
he-',he-'
be-',be-'
negotiation',negotiation'
'amenadiel,'Amenadiel
'requested,'Requested
'fucked,'Fucked 'fucked
'someone's,'Someone's
'father's,'Father's
's'the,'S'the
them-',them-'
'ouch,'Ouch 'ouch
'sssshut,'Sssshut
'linda,'Linda
'crawly,'Crawly
'presumably,'Presumably
'toy,'toy
'worst,'Worst
'corrupting,'Corrupting
'encouragement,'Encouragement
'several,'several
'perfection,'perfection
'maze,'Maze
business're,business're
'chloé,'Chloé
'béatrice,'Béatrice
'astaroth,'Astaroth
'adieu,'Adieu
can-',can-'
'track,'Track
'pain,'Pain
no-',no-'
i⸺',I⸺'
'moron,'Moron
she-',she-'
'nomore,'nomore
l'oeil,l'oeil
'waking,'waking
be'winged,be'winged
like'm,like'm
t'look,t'look
nap'sz,nap'sz
t'use,t'use
t'smite,t'smite
unwelcome',unwelcome'
eden',eden'
'wasteland,'wasteland
'andy,'Andy 'andy
pint',pint'
'sparking,'Sparking
s'allright,S'allright
s'london,S'London
don't—you,don't—you
'cobra,'cobra
strike',strike'
'adder,'adder
'traitor,'traitor 'Traitor
happen'd,happen'd
'rent,'rent
poetry',poetry'
'one's,'One's
fiancée's,fiancée's
'wedding,'Wedding 'wedding
'lady's,'lady's
lift',lift'
'mass,'mass 'Mass
hallucinations',hallucinations'
o'erpowered,o'erpowered
whate'er,whate'er
andhecan'tbreathe,andhecan'tbreathe
no—i'm,no—I'm
around—he's,around—He's
twin''s,twin''s
'classic,'Classic
s'hotter,S'hotter
contestants',contestants'
toweth'r,toweth'r
riv'r,riv'r
charm'r’,charm'r’
charm'r,charm'r
destroyed',destroyed'
submission',submission'
'fell,'fell
jars',jars'
mix'd,mix'd
'bonding,'bonding
from',from'
kudos'ing,kudos'ing
demon'sss,demon'sss
feather',feather'
celestials',celestials'
'ol,'ol
traditional',traditional'
oh-i-didn't-see-you-there,oh-I-didn't-see-you-there
may't,may't
'propose,'Propose
lust',lust'
g'head,G'head
s'dull,S'dull
intervention',intervention'
prickly',prickly'
s'weird,S'weird
sss'how,sss'how
thinking',thinking'
'ngk,'ngk
attaboy',attaboy'
attached',attached'
dialing',dialing'
m'only,M'only m'only
'respect,'Respect
that'sssa,that'sssa
m'love,m'love
m'help,m'help
ya'only,ya'only
m'peace,m'peace
young'uns,young'uns
s'normal,S'normal
don'say,don'say
ting',ting'
sender',sender'
faithless',faithless'
wha'd'you,wha'd'you
s'risky,S'risky
y'alive,y'alive
m'pet,m'pet
rat',rat'
notthati'mthankingyou,notthatI'mthankingyou
friend's’,friend's’
m'getting,M'getting
mama'zz,mama'zz
m'best,M'best m'best
'ready,'Ready
steps',steps'
w'yah,w'yah
d'alembert,d'Alembert
'knowledge,'Knowledge
'multiplication,'multiplication
brioches',brioches'
'excessively,'excessively
box',box'
purposes',purposes'
'energy,'energy
recreation',recreation'
'fuck's,'fuck's
monks',monks'
'protector,'protector
'sall,'Sall
'hardening,'hardening
attendants',attendants'
there's—there,there's—there
it's—since,it's—since
part—it's,part—it's
it's—it's,it's—it's
i'm—oh,I'm—oh
'pleased,'Pleased
'kinda,'Kinda
'frog,'Frog
'midnite,'Midnite
'argh,'Argh 'ARGH
'jolly,'Jolly
'angela,'Angela
live',live'
investigator',investigator'
'beeman,'Beeman
'duck,'Duck 'duck
'isabel,'Isabel
'yesterday,'Yesterday
'suit,'Suit
'wily,'Wily 'wily
'selling,'Selling
'mammon,'Mammon
'blimey,'Blimey
'possessing,'Possessing
'boys,'Boys
'shadwell,'Shadwell
mean—she's,mean—she's
express'd,express'd
planets',planets'
demon'ing,demon'ing
narc'd,narc'd
other's',other's'
awww'd,awww'd
'aaaannnnd,'Aaaannnnd
'luck,'luck
'unconditional,'unconditional
'bicycle,'Bicycle
'enter,'Enter
'smooth,'Smooth 'smooth
'bette,'Bette
'rewrite,'Rewrite
'coarse,'coarse
vernacular',vernacular'
boomerang',boomerang'
„that's,„THAT'S
'oohhhhhh,'oohhhhhh
accomplished',accomplished'
'den,'den 'Den
together'',together''
'carry,'Carry 'carry
hook',hook'
'gum,'gum
sole',sole'
ugly',ugly'
g'reatly,g'REatly
s'black,S'black
'hitting,'hitting
laugh',laugh'
hi',hi'
'reed,'Reed
'seeding,'seeding
envy',envy'
temple',temple'
'ideological,'ideological
training',training'
'm'sorry,'M'sorry
dishes',dishes'
kudo'ed,kudo'ed
'flavius,'Flavius
goodness-',goodness-'
penis',penis'
fr'you,fr'you
guessss'd,guessss'd
vanish',vanish'
white',white'
neith'r,neith'r
thee',thee'
greener',greener'
been-',been-'
d'eon,d'Eon D'Eon
