lowercase,forms,if_interesting,
chil'ren,chil'ren,1,
fearedthey're,fearedThey're,0,
'er,'er 'Er,0,???
'madame,'Madame,0,
shop',shop',0,
'turning,'Turning 'turning,0,
turtle',turtle',0,
mei'm,meI'm,0,
'office,'Office 'office,0,
leerie',leerie',0,
'ave,'ave 'Ave,0,
'e'd,'E'd,1,
mat'r,mat'r,1,
'certificate,'Certificate,0,
'head,'head 'Head,0,
'anthony,'Anthony 'anthony,0,
'mr,'Mr,0,
'since,'Since 'since,0,
p'rhaps,P'rhaps p'rhaps,1,
'everyone,'everyone 'Everyone,0,
d'y'ever,D'y'ever,1,
mouth',mouth',0,
'tickety,'tickety,0,
boo',boo',0,
l'v,L'v,1,
poems',poems',0,
weeks',weeks',0,
ha'penny,ha'penny,1,
y'ask,y'ask,1,
crows',crows',0,
'nerf,'Nerf,0,
'murdered’,'murdered’,0,
don't-mind-me,don't-mind-me,0,
'false,'false,0,
god',god',0,
king',king',0,
s'aiment,S'Aiment,1,0
'live,'live 'Live,0,
'making,'making 'Making,0,
happen',happen',0,
cock-ups',cock-ups',0,
ko'd,KO'd,1,
'temporary,'temporary,0,
'tuxedo,'tuxedo,0,
cat',cat',0,
’love's,’Love's,0,
sales',sales',0,
'master,'Master,0,
master',master',0,
'your,'your 'Your 'YOur,0,
s'nothing,S'nothing,1,
'lucy,'Lucy,0,
'fraternizing,'fraternizing,0,
'lick,'lick,0,
butt',butt',0,
'new,'New 'new,0,
'still,'Still 'still,0,
that's—that's,that's—that's,0,
'mmm,'Mmm,0,
hate',hate',0,
'n,'n 'N,1,
'gay,'gay 'Gay,0,
af',af',1,
'syoure,'syoure,1,
can't—crowley,can't—Crowley,0,
'time,'Time 'time 'TIME,0,
'supposed,'supposed,0,
to',to',0,
s'at,S'at,1,
newbies',newbies',0,
'dear,'dear 'Dear 'DEAR,0,
boy',boy',0,
ev'ry,ev'ry,1,
l'homme,L'Homme L'homme,0,
what's-her-name,what's-her-name,0,
y'ere,Y'ere y'ere,1,
who'zz,who'zz,1,
'maybe,'maybe 'Maybe,0,
let'zz,let'zz,1,
it'zz,it'zz,1,
'moral,'moral 'Moral,0,
victory',victory',0,
'assignment,'assignment,0,
'temptation,'temptation 'Temptation,0,
that',that',0,
'business,'business 'Business,0,
usual',usual',0,
s'this,S'this,1,
o'cruadhlaoich,O'Cruadhlaoich,0,
i'm—please,I'm—Please,0,
s'curious,S'curious,1,
no—he's,no—he's,0,
way',way',0,
'southern,'southern,0,
pansy',pansy',0,
ones',ones',0,
should'n,should'n,1,???
little',little',0,
s'amazing,S'amazing,1,
demony',demony',0,
dress',dress',0,
'sa,'sa,1,
'fool,'Fool 'fool,0,
'original,'original 'Original,0,
apocalypse-that-didn't-happen,apocalypse-that-didn't-happen,0,
talk',talk',0,
'virgin,'virgin,0,
'purity,'Purity,0,
excited',excited',0,
t'sks,t'sks,1,
sensation',sensation',0,
'showing,'showing,0,
ropes',ropes',0,
'bedroom,'bedroom,0,
'nice,'nice 'Nice,0,
'bastard,'bastard 'Bastard,0,
charge',charge',0,
'bomb,'bomb,0,
husband',husband',0,
normal',normal',0,
calories',calories',0,
'called,'Called,0,
fat',fat',0,
'beyond,'beyond,0,
understanding',understanding',0,
teens',teens',0,
'their,'their 'THEIR 'Their,0,
tch'ed,tch'ed,1,
bottles',bottles',0,
he'z,he'z,1,
d'arblay,D'Arblay,0,
members',members',0,
'recipe,'recipe,0,
books',books',0,
us',us' US',0,
'slip,'slip,0,
gonna—i'm,gonna—I'm,0,
s'euripides,S'Euripides,1,
theatregoers',theatregoers',0,
actors',actors',0,
want',want',0,
'night,'Night 'night,0,
'snogg,'snogg,0,
girls',girls',0,
s'ure,S'ure,1,
g'day,G'day g'day,1,
d',d' D',1,
'safe,'safe 'Safe,0,
sign',sign',0,
'who,'who 'Who 'WHO,0,
dunnit',dunnit',1,
neighbors',neighbors',0,
'rescue,'Rescue 'rescue,0,
years',years',0,
'die,'die,0,
'miraculous,'miraculous,0,
escapes',escapes',0,
wines',wines',0,
'freddie,'Freddie,0,
octaves',octaves',0,
ya',ya',1,
'rub,'rub 'Rub,0,
'coming,'coming 'Coming,0,
