lowercase,forms,if_interesting,Unnamed: 3,n_of_variants,class
maitre'd,maitre'd,1.0,,1,would
'oi,'Oi 'oi,1.0,,2,
's'boring,'S'boring,1.0,,1,
m'okay,M'okay,1.0,,1,
mum'd,mum'd,1.0,??,1,would
to'ya,to'ya,1.0,,1,
cause'n,cause'n,1.0,,1,
night'o,night'o,1.0,,1,
hear'ya,hear'ya,1.0,,1,
harm'n,harm'n,1.0,,1,
have'n,have'n,1.0,,1,
not'tin,not'tin,1.0,,1,
happy'ta,happy'ta,1.0,,1,
sound'a,sound'a,1.0,,1,
get'em,get'em,1.0,,1,
'ouse,'ouse,1.0,,1,
'mhm'ed,'mhm'ed,1.0,,1,
'cos,'cos 'Cos,1.0,,2,
a'ight,A'ight a'ight,1.0,,2,
'nother,'Nother 'nother,1.0,,2,
'ome,'ome,1.0,,1,
'at's,'At's 'at's,1.0,,2,
w'th,w'th,1.0,,1,
could''t,could''t,1.0,,1,
ev'n,ev'n,1.0,,1,
'spose,'spose 'Spose,1.0,,2,
sor'a,sor'a,1.0,,1,
li''le,li''le,1.0,,1,
v'zot,V'Zot,1.0,,1,
i'hisss,I'hisss,1.0,,1,hiss
don'tsss,don'tsss,1.0,,1,hiss
there'ssssss,there'ssssss,1.0,,1,hiss
can'tssss,can'tssss,1.0,,1,hiss
firs',firs',1.0,,1,
i'ss,I'ss,1.0,,1,hiss
that'ss,that'ss,1.0,,1,hiss
i'sss,I'sss,1.0,,1,hiss
'ye-yea,'Ye-yea,1.0,,1,
i'nu,I'nu,1.0,,1,
'eello,'eello,1.0,,1,
i'uh'nu,I'uh'nu,1.0,,1,
'g,'G,1.0,,1,
look'n,look'n,1.0,,1,
gett'n,gett'n,1.0,,1,
d'ye,d'ye D'ye,1.0,,2,
granddad'd,granddad'd,1.0,,1,would
oddah',oddah',1.0,,1,
f'rfeit,f'rfeit,1.0,,1,
juss',juss',1.0,,1,hiss
ev'rything,ev'rything,1.0,,1,
'mbrellas,'mbrellas,1.0,,1,
ehssh'nggx,ehssh'nggx,1.0,,1,hiss
'scp,'SCP,1.0,,1,
s'nofing,S'nofing,1.0,,1,
t'filah,t'filah,1.0,,1,
yo-you're,yo-you're,1.0,,1,
'lo,'Lo 'lo,1.0,,2,
m-',m-',1.0,,1,
whatd'ya,whatd'ya,1.0,,1,
yes-ma'ams,yes-ma'ams,1.0,,1,
slick—d'you,slick—d'you,1.0,??,1,
m'self,m'self,1.0,,1,
ne're,ne're,1.0,,1,
'nd,'nd 'Nd,1.0,,2,
won'tcha,won'tcha,1.0,,1,
ze'd,ze'd,1.0,,1,would
ze're,ze're,1.0,,1,
t'fight,t'fight,1.0,,1,
'zir--'ziraphale,'zir--'ziraphale,1.0,,1,
m'still,M'still,1.0,,1,
unnerstan',unnerstan',1.0,,1,
don',don',1.0,,1,
somethe'n,somethe'n,1.0,,1,
ain't'a,ain't'a,1.0,,1,
'orrible,'orrible,1.0,,1,
o'er,o'er O'er,1.0,,2,
entr'acte,entr'acte,1.0,,1,
bu',bu',1.0,,1,
's'what,'s'what 'S'what,1.0,,2,
'en,'en,1.0,,1,
'fffuck,'Fffuck,1.0,,1,
dif'rent,dif'rent,1.0,,1,
'ssssssswarmer,'Ssssssswarmer,1.0,,1,hiss
body'ssssssss,body'ssssssss,1.0,,1,hiss
s'more,S'more s'more,1.0,,2,
s'means,S'means,1.0,,1,
mo',mo',1.0,,1,
it'z,it'z,1.0,,1,
no'mo,no'mo,1.0,,1,
any'thin,any'thin,1.0,,1,
leave'n,leave'n,1.0,,1,
fuck'n,fuck'n,1.0,,1,
if'n,if'n,1.0,,1,
at'im,at'im,1.0,,1,
come'er,come'er,1.0,,1,
one'sss,one'sss,1.0,,1,hiss
tea'd,tea'd,1.0,,1,would
ma',ma',1.0,,1,
tha',tha' THA',1.0,,2,
m'cold,M'cold,1.0,,1,
s'awful,s'awful,1.0,,1,
'perrrfect,'Perrrfect,1.0,,1,
f'ligur,F'Ligur,1.0,,1,
ba'alzzzebub,BA'ALZZZEBUB,1.0,,1,buzz
b'sides,B'sides b'sides,1.0,,2,
'that’ll,'That’ll,1.0,,1,
'thizz,'Thizz,1.0,,1,buzz
did’n-',did’n-',1.0,,1,
'zzhut,'Zzhut,1.0,,1,buzz
'dezzided,'Dezzided,1.0,,1,buzz
s'too,S'too s'too,1.0,,2,
blighter'd,blighter'd,1.0,,1,would
ne'er-do-well,ne'er-do-well,1.0,,1,
powerful'n,powerful'n,1.0,,1,
hmm'd,hmm'd,1.0,,1,would
high-ceiling'd,high-ceiling'd,1.0,,1,would
's'alright,'S'alright,1.0,,1,
y'need,y'need,1.0,,1,
c'm'on,C'm'on,1.0,,1,
d'nno,d'nno D'nno,1.0,,2,
al-'ilm,al-'ilm,1.0,,1,
n'yeah,N'yeah,1.0,,1,
could'a,could'a,1.0,,1,
y're,y're Y're,1.0,,2,
f'course,F'course f'course,1.0,,2,
s'thick,S'thick,1.0,,1,
s'good,S'good s'good S'Good,1.0,,3,
s'sssogood,s'sssogood,1.0,,1,hiss
'ncre'ble,'ncre'ble,1.0,,1,
you'd—ah—love,you'd—ah—love,1.0,,1,
